mean_neulog,standard deviation_neulog,min_neulog,max_neulog,median_neulog,skew_neulog,kurtosis_neulog,80_percentile_neulog,20_percentile_neulog,mean_polar,standard deviation_polar,min_polar,max_polar,median_polar,skew_polar,kurtosis_polar,80_percentile_polar,20_percentile_polar,mean_ecg,median_ecg,variance_ecg,quartiled_ecg,range_ecg,max_ecg,min_ecg,80perc_ecg,20perc_ecg,HF_ecg,LF_ecg,LF/HF_ecg,RMSSD_ecg,SDSD_ecg,pNN20_ecg,pNN50_ecg
0.799800468,0.229856548,0.84855515,0.736345321,0.785809794,0.421984566,0.094675265,0.708542771,0.784306843,0.654024399,0.283344021,0.578947368,0.585365854,0.647058824,0.783040636,0.627893009,0.391566265,0.666666667,0.404837714,0.533333333,0.810533232,0.671875,1,1,0,0.633802817,0.25,0.95114622,0.594255339,0.142568809,0.814870087,0.844133287,0.66114725,0.584269663
0.765989733,0.176792426,0.84855515,0.729197141,0.747300685,0.547749068,0.192441199,0.670148035,0.761591997,0.487643988,0.144094003,0.526315789,0.341463415,0.529411765,0.49503011,0.200873919,0.331325301,0.555555556,0.794097415,0.666666667,0.179311109,0.234375,0.558139535,1,0.791666667,0.704225352,0.9375,0.707849728,0.587079714,0.260377141,0.512066844,0.466047167,0.692260062,0
0.75930221,0.133469665,0.846201085,0.671625314,0.744726726,0.497801959,0.121545314,0.658036094,0.761591997,0.506719021,0.213270171,0.526315789,0.341463415,0.411764706,0.495141801,0.063619309,0.391566265,0.544444444,0.612898833,0.6,0.154497126,0.234375,0.255813953,0.5,0.791666667,0.563380282,0.6875,0.320922458,0.78760233,0.767445808,0.514961849,0.431161109,0.704093567,0
0.767573756,0.120868652,0.846201085,0.671625314,0.75338459,0.422607429,0.137689164,0.662608266,0.776091696,0.654396696,0.144503981,0.578947368,0.341463415,0.735294118,0.084044186,0.195703045,0.421686747,0.722222222,0.379259849,0.333333333,0.201558396,0.3125,0.441860465,0.5,0.458333333,0.211267606,0.5,0.292557749,0.398260939,0.505842396,0.467555642,0.349721733,0.547137073,0
0.77897009,0.246191099,0.869229982,0.767173571,0.752599031,0.714585323,0.373610341,0.665466592,0.772372267,0.704237911,0.103304684,0.789473684,0.390243902,0.764705882,0.405271026,0.209760142,0.421686747,0.777777778,0.570630681,0.466666667,0.295638861,0.15625,0.441860465,0.5,0.458333333,0.352112676,0.75,0.866751389,0.659416262,0.208214502,0.896479561,0.76979942,0.746096009,0.857142857
0.766553884,0.274894632,0.853604449,0.767173571,0.736068862,0.705316144,0.33713001,0.66397129,0.756731762,0.838993789,0.141502499,0.789473684,0.487804878,0.882352941,0.348909499,0.186693815,0.512048193,0.888888889,0.980143478,1,0.429917923,0.46875,0.488372093,0.769230769,0.666666667,0.985915493,0.9375,0.430978382,1,0.755681788,0.817166376,0.649256575,0.866741321,0
0.732297173,0.080746957,0.837842448,0.625838324,0.720992813,0.448029634,0.093177943,0.629688632,0.742934097,0.767923908,0.203917528,0.684210526,0.487804878,0.823529412,0.356004551,0.129412384,0.487951807,0.777777778,0.658253446,0.533333333,0.120579461,0.125,0.139534884,0.461538462,0.958333333,0.542253521,0.8125,0.427831121,0.403971681,0.362445083,0.321894558,0.344233034,0.389360498,0
0.688617575,0.191176878,0.7676299,0.609692821,0.687648337,0.403482256,0.02142176,0.612291377,0.674222531,0.668241478,0.075887537,0.684210526,0.341463415,0.764705882,0.161310215,0.196982363,0.391566265,0.777777778,0.389132154,0.333333333,0.002684241,0.03125,0,0,0.708333333,0.14084507,0.6875,0.049752052,0.157717917,0.692093761,0.102706815,0.159819507,0.149219202,0
0.68608327,0.274490798,0.7676299,0.678718295,0.655373558,0.583708864,0.15093863,0.61667376,0.665919631,0.780845705,0.127697309,0.842105263,0.463414634,0.823529412,0.581301465,0.286527147,0.457831325,0.833333333,0.375818277,0.366666667,0.01885943,0,0.069767442,0.115384615,0.708333333,0.070422535,0.6875,0.051436699,0.133124941,0.658817417,0.119350027,0.115209551,0.048670062,0
0.868268826,0.176003377,0.861068629,0.852589384,0.869105405,0.105814291,0.063417029,0.87625996,0.859774602,0.94341362,0.450090746,0.869565217,0.805555556,0.92,0.454880109,0.023687604,0.888157895,0.833333333,0.803726699,0.818181818,0.310322193,0.228571429,0.56097561,0.906976744,0.875,0.845614035,0.875379939,0.888701756,0.247423281,0.088073802,0.872986404,0.872932214,0.847887324,0.784969442
